"","subject","trial","set_size","rt","accuracy","response","correct_response","mapping","condition","stimulus","mean_accuracy4","mean_accuracy8","mean_accuracy_combined","capacity4","capacity8","capacity_combined","exclude_chance","exclude_4","exclude_inattention"
"1",1,1,4,"1163","true","k","k","sk","d","<img class='d' src=images/squares/cyan.png><div class=""fixation"">+</div>",0.8,0.6,0.7,2.4,1.6,4,FALSE,FALSE,FALSE
"2",1,2,8,"1663","false","s","k","sk","d","<img class='a' src=images/squares/orange.png><div class=""fixation"">+</div>",0.8,0.6,0.7,2.4,1.6,4,FALSE,FALSE,FALSE
"3",1,3,4,"1156","true","s","s","sk","s","<img class='g' src=images/squares/red.png><div class=""fixation"">+</div>",0.8,0.6,0.7,2.4,1.6,4,FALSE,FALSE,FALSE
"4",1,4,8,"1302","true","k","k","sk","d","<img class='b' src=images/squares/red.png><div class=""fixation"">+</div>",0.8,0.6,0.7,2.4,1.6,4,FALSE,FALSE,FALSE
"5",1,5,8,"1395","false","k","s","sk","s","<img class='g' src=images/squares/green.png><div class=""fixation"">+</div>",0.8,0.6,0.7,2.4,1.6,4,FALSE,FALSE,FALSE
"6",1,6,8,"1231","true","k","k","sk","d","<img class='a' src=images/squares/yellow.png><div class=""fixation"">+</div>",0.8,0.6,0.7,2.4,1.6,4,FALSE,FALSE,FALSE
"7",1,7,8,"1947","false","k","s","sk","s","<img class='b' src=images/squares/cyan.png><div class=""fixation"">+</div>",0.8,0.6,0.7,2.4,1.6,4,FALSE,FALSE,FALSE
"8",1,8,4,"1270","false","k","s","sk","s","<img class='a' src=images/squares/orange.png><div class=""fixation"">+</div>",0.8,0.6,0.7,2.4,1.6,4,FALSE,FALSE,FALSE
"9",1,9,8,"2533","true","k","k","sk","d","<img class='h' src=images/squares/brown.png><div class=""fixation"">+</div>",0.8,0.6,0.7,2.4,1.6,4,FALSE,FALSE,FALSE
"10",1,10,4,"990","true","s","s","sk","s","<img class='a' src=images/squares/brown.png><div class=""fixation"">+</div>",0.8,0.6,0.7,2.4,1.6,4,FALSE,FALSE,FALSE
"11",1,11,8,"1285","true","s","s","sk","s","<img class='e' src=images/squares/yellow.png><div class=""fixation"">+</div>",0.8,0.6,0.7,2.4,1.6,4,FALSE,FALSE,FALSE
"12",1,12,8,"2585","false","s","k","sk","d","<img class='i' src=images/squares/cyan.png><div class=""fixation"">+</div>",0.8,0.6,0.7,2.4,1.6,4,FALSE,FALSE,FALSE
"13",1,13,8,"1176","true","s","s","sk","s","<img class='l' src=images/squares/blue.png><div class=""fixation"">+</div>",0.8,0.6,0.7,2.4,1.6,4,FALSE,FALSE,FALSE
"14",1,14,8,"2461","false","k","s","sk","s","<img class='b' src=images/squares/blue.png><div class=""fixation"">+</div>",0.8,0.6,0.7,2.4,1.6,4,FALSE,FALSE,FALSE
"15",1,15,8,"2580","false","s","k","sk","d","<img class='l' src=images/squares/yellow.png><div class=""fixation"">+</div>",0.8,0.6,0.7,2.4,1.6,4,FALSE,FALSE,FALSE
"16",1,16,8,"1537","true","k","k","sk","d","<img class='c' src=images/squares/blue.png><div class=""fixation"">+</div>",0.8,0.6,0.7,2.4,1.6,4,FALSE,FALSE,FALSE
"17",1,17,8,"1419","true","k","k","sk","d","<img class='b' src=images/squares/green.png><div class=""fixation"">+</div>",0.8,0.6,0.7,2.4,1.6,4,FALSE,FALSE,FALSE
