"subject","trial_num","set_size","rt","accuracy","response","correct_response","mapping","condition","location","color","locations","colors","mean_accuracy4","mean_accuracy8","mean_accuracy_combined","capacity4","capacity8","capacity_combined","trial","exclude_chance","exclude_4","exclude_inattention"
1,0,8,"772","true","s","s","ks","d","b","orange","b,a,f,e,g,i,k,j","green,yellow,cyan,black,magenta,blue,brown,red",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,1,FALSE,FALSE,FALSE
1,1,4,"675","true","k","k","ks","s","c","green","c,e,i,j","green,cyan,orange,blue",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,2,FALSE,FALSE,FALSE
1,2,8,"565","true","s","s","ks","d","g","black","a,b,e,d,g,i,l,k","cyan,magenta,red,blue,yellow,brown,orange,green",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,3,FALSE,FALSE,FALSE
1,3,8,"499","true","s","s","ks","d","g","blue","c,a,d,f,g,h,l,j","orange,yellow,red,green,magenta,cyan,black,brown",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,4,FALSE,FALSE,FALSE
1,4,4,"699","true","k","k","ks","s","l","orange","c,d,g,l","red,brown,blue,orange",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,5,FALSE,FALSE,FALSE
1,5,8,"620","false","s","k","ks","s","a","yellow","c,a,f,d,g,h,k,j","brown,yellow,green,black,magenta,blue,orange,cyan",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,6,FALSE,FALSE,FALSE
1,6,8,"531","false","s","k","ks","s","l","orange","c,b,e,f,g,i,l,j","blue,green,cyan,black,yellow,red,orange,brown",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,7,FALSE,FALSE,FALSE
1,7,8,"711","true","k","k","ks","s","a","green","b,a,d,e,h,i,k,l","orange,green,cyan,magenta,blue,yellow,red,black",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,8,FALSE,FALSE,FALSE
1,8,4,"558","true","s","s","ks","d","j","blue","a,f,h,j","magenta,cyan,orange,brown",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,9,FALSE,FALSE,FALSE
1,9,8,"639","true","s","s","ks","d","l","magenta","c,a,e,f,h,i,l,j","black,yellow,orange,green,cyan,red,blue,brown",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,10,FALSE,FALSE,FALSE
1,10,4,"580","false","k","s","ks","d","l","yellow","b,e,h,l","brown,magenta,green,blue",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,11,FALSE,FALSE,FALSE
1,11,8,"563","true","s","s","ks","d","d","cyan","c,b,e,d,h,i,l,j","orange,green,black,blue,magenta,brown,red,yellow",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,12,FALSE,FALSE,FALSE
1,12,8,"544","false","s","k","ks","s","f","orange","c,b,e,f,h,g,k,l","yellow,brown,red,orange,black,magenta,blue,green",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,13,FALSE,FALSE,FALSE
1,13,4,"727","true","k","k","ks","s","k","red","b,f,g,k","blue,black,green,red",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,14,FALSE,FALSE,FALSE
1,14,4,"729","true","k","k","ks","s","i","red","b,d,i,k","orange,blue,red,brown",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,15,FALSE,FALSE,FALSE
1,15,4,"633","true","s","s","ks","d","c","yellow","c,d,h,l","blue,green,orange,black",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,16,FALSE,FALSE,FALSE
1,16,4,"788","true","k","k","ks","s","k","brown","c,f,g,k","green,orange,black,brown",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,17,FALSE,FALSE,FALSE
1,17,8,"673","false","s","k","ks","s","l","blue","c,b,e,d,h,g,l,j","red,magenta,black,yellow,cyan,brown,blue,green",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,18,FALSE,FALSE,FALSE
1,18,8,"576","true","k","k","ks","s","a","magenta","c,a,e,d,h,i,k,j","red,magenta,cyan,green,black,blue,brown,orange",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,19,FALSE,FALSE,FALSE
1,19,8,"582","false","k","s","ks","d","b","magenta","c,b,f,d,i,h,k,j","cyan,blue,green,yellow,black,orange,brown,red",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,20,FALSE,FALSE,FALSE
1,20,4,"521","true","s","s","ks","d","h","red","b,f,h,k","blue,black,brown,green",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,21,FALSE,FALSE,FALSE
1,21,4,"692","true","k","k","ks","s","c","black","c,e,g,j","black,red,yellow,orange",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,22,FALSE,FALSE,FALSE
1,22,8,"510","true","s","s","ks","d","k","brown","b,a,d,f,i,g,k,j","cyan,blue,black,magenta,red,yellow,orange,green",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,23,FALSE,FALSE,FALSE
1,23,8,"535","false","s","k","ks","s","e","green","c,a,e,f,g,h,k,j","brown,blue,green,cyan,black,orange,magenta,red",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,24,FALSE,FALSE,FALSE
1,24,8,"369","true","s","s","ks","d","k","red","b,c,d,f,h,g,k,j","blue,magenta,yellow,orange,brown,cyan,green,black",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,25,FALSE,FALSE,FALSE
1,25,4,"525","true","s","s","ks","d","h","red","a,f,h,k","magenta,black,yellow,green",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,26,FALSE,FALSE,FALSE
1,26,4,"504","true","k","k","ks","s","a","red","a,d,g,j","red,blue,magenta,brown",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,27,FALSE,FALSE,FALSE
1,27,4,"369","true","s","s","ks","d","c","black","c,d,h,l","cyan,blue,green,orange",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,28,FALSE,FALSE,FALSE
1,28,4,"535","true","s","s","ks","d","l","red","b,e,i,l","green,yellow,cyan,black",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,29,FALSE,FALSE,FALSE
1,29,4,"556","false","s","k","ks","s","g","orange","a,e,g,k","black,blue,orange,red",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,30,FALSE,FALSE,FALSE
1,30,8,"583","true","k","k","ks","s","a","magenta","a,b,d,f,i,g,k,j","magenta,yellow,orange,black,red,blue,brown,cyan",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,31,FALSE,FALSE,FALSE
1,31,4,"481","true","k","k","ks","s","f","green","c,f,h,k","blue,green,brown,black",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,32,FALSE,FALSE,FALSE
1,32,8,"634","true","s","s","ks","d","g","orange","a,c,e,f,g,h,l,j","cyan,green,magenta,black,red,blue,brown,yellow",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,33,FALSE,FALSE,FALSE
1,33,8,"430","true","k","k","ks","s","f","brown","b,c,e,f,i,h,l,j","yellow,cyan,red,brown,black,blue,magenta,orange",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,34,FALSE,FALSE,FALSE
1,34,8,"459","true","s","s","ks","d","g","red","a,c,d,f,g,h,l,k","brown,yellow,orange,green,magenta,blue,cyan,black",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,35,FALSE,FALSE,FALSE
1,35,8,"468","true","s","s","ks","d","g","green","b,c,d,f,g,i,k,j","cyan,blue,brown,magenta,black,yellow,red,orange",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,36,FALSE,FALSE,FALSE
1,36,8,"504","true","s","s","ks","d","d","orange","c,b,d,f,g,h,k,j","cyan,blue,brown,black,green,yellow,red,magenta",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,37,FALSE,FALSE,FALSE
1,37,8,"433","true","k","k","ks","s","i","yellow","a,c,e,d,g,i,j,l","orange,red,black,brown,green,yellow,cyan,magenta",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,38,FALSE,FALSE,FALSE
1,38,8,"1014","false","k","s","ks","d","f","brown","b,a,f,e,h,i,j,l","orange,yellow,green,blue,magenta,red,black,cyan",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,39,FALSE,FALSE,FALSE
1,39,8,"544","false","s","k","ks","s","l","magenta","c,a,d,f,i,h,l,k","cyan,black,blue,brown,yellow,red,magenta,orange",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,40,FALSE,FALSE,FALSE
1,40,4,"617","true","k","k","ks","s","l","red","a,e,i,l","cyan,magenta,brown,red",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,41,FALSE,FALSE,FALSE
1,41,8,"697","true","s","s","ks","d","f","black","b,a,f,e,g,i,l,k","orange,green,yellow,blue,brown,magenta,cyan,red",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,42,FALSE,FALSE,FALSE
1,42,4,"531","true","s","s","ks","d","c","yellow","c,f,g,k","red,magenta,orange,black",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,43,FALSE,FALSE,FALSE
1,43,8,"522","false","s","k","ks","s","c","green","c,a,d,f,h,g,l,k","green,brown,cyan,blue,orange,yellow,red,magenta",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,44,FALSE,FALSE,FALSE
1,44,8,"634","false","s","k","ks","s","b","blue","b,c,f,d,g,h,l,k","blue,yellow,cyan,orange,green,black,red,magenta",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,45,FALSE,FALSE,FALSE
1,45,4,"608","true","s","s","ks","d","e","yellow","c,e,h,j","red,blue,magenta,green",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,46,FALSE,FALSE,FALSE
1,46,4,"587","true","s","s","ks","d","b","red","b,f,g,j","blue,yellow,brown,orange",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,47,FALSE,FALSE,FALSE
1,47,8,"494","true","s","s","ks","d","b","yellow","c,b,e,d,i,g,k,l","blue,green,brown,red,cyan,orange,black,magenta",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,48,FALSE,FALSE,FALSE
1,48,4,"558","true","s","s","ks","d","e","yellow","a,e,h,j","red,blue,magenta,cyan",0.789473684210526,0.650793650793651,0.720133667502089,2.31578947368421,2.41269841269841,2.36424394319131,49,FALSE,FALSE,FALSE
