"","subject","block","trial","card_left","card_right","ch_card","ch_key","reward","prob1","prob2","prob3","prob4","rt","reward_oneback","unch_card","reoffer_ch","reoffer_unch","stay_key","stay_card","stay_unch_card","prob_ch","prob_unch","accuracy","delta_exp_value","prob_left","prob_right","better_loc","prev_loc_better","bonus","number_inattention","instructions_mistakes","exclude_trial_omission","exclude_key_rep","exclude_inattention"
"1",1,"1","1",3,4,4,"1","1",0.157020842,0.619709433,0.455624574,0.57748884,583,NA,3,NA,NA,NA,NA,NA,0.57748884,0.455624574,1,0.121864266,0.455624574,0.57748884,1,NA,0.0025,0,0,FALSE,FALSE,FALSE
"2",1,"1","2",1,2,1,"0","1",0.15,0.638847416,0.447060403,0.547476684,817,"1",2,FALSE,FALSE,FALSE,FALSE,FALSE,0.15,0.638847416,0,0.488847416,0.15,0.638847416,1,1,0.0025,0,0,FALSE,FALSE,FALSE
"3",1,"1","3",1,3,1,"0","0",0.15,0.673558252,0.464653849,0.564055839,648,"1",3,TRUE,FALSE,TRUE,TRUE,FALSE,0.15,0.464653849,0,0.314653849,0.15,0.464653849,1,0,0,0,0,FALSE,FALSE,FALSE
"4",1,"1","4",3,2,3,"0","1",0.156040006,0.650024264,0.468050463,0.533591457,909,"0",2,FALSE,TRUE,TRUE,FALSE,TRUE,0.468050463,0.650024264,0,0.181973801,0.468050463,0.650024264,1,0,0.0025,0,0,FALSE,FALSE,FALSE
"5",1,"1","5",4,2,4,"0","0",0.15,0.609580707,0.479689254,0.548975462,809,"1",2,FALSE,TRUE,TRUE,FALSE,FALSE,0.548975462,0.609580707,0,0.060605245,0.548975462,0.609580707,1,0,0,0,0,FALSE,FALSE,FALSE
"6",1,"1","6",4,2,4,"0","0",0.15,0.643928684,0.489298433,0.530164744,823,"0",2,TRUE,TRUE,TRUE,TRUE,FALSE,0.530164744,0.643928684,0,0.11376394,0.530164744,0.643928684,1,0,0,0,0,FALSE,FALSE,FALSE
"7",1,"1","7",2,3,2,"0","1",0.15,0.632410914,0.49896292,0.449644452,1220,"0",3,FALSE,TRUE,TRUE,FALSE,TRUE,0.632410914,0.49896292,1,0.133447994,0.632410914,0.49896292,0,1,0.0025,0,0,FALSE,FALSE,FALSE
"8",1,"1","8",2,3,2,"0","1",0.15,0.660272086,0.503229792,0.400668363,776,"1",3,TRUE,TRUE,TRUE,TRUE,FALSE,0.660272086,0.503229792,1,0.157042294,0.660272086,0.503229792,0,1,0.0025,0,0,FALSE,FALSE,FALSE
"9",1,"1","9",2,4,2,"0","1",0.15,0.654805088,0.426905337,0.363860908,592,"1",4,TRUE,FALSE,TRUE,TRUE,FALSE,0.654805088,0.363860908,1,0.29094418,0.654805088,0.363860908,0,1,0.0025,0,0,FALSE,FALSE,FALSE
"10",1,"1","10",2,1,2,"0","1",0.195488406,0.654415047,0.43950215,0.384457003,452,"1",1,TRUE,FALSE,TRUE,TRUE,FALSE,0.654415047,0.195488406,1,0.458926641,0.654415047,0.195488406,0,1,0.0025,0,0,FALSE,FALSE,FALSE
"11",1,"1","11",1,3,1,"0","0",0.238761738,0.651459173,0.424029653,0.381435283,1196,"1",3,FALSE,TRUE,TRUE,FALSE,TRUE,0.238761738,0.424029653,0,0.185267915,0.238761738,0.424029653,1,0,0,0,0,FALSE,FALSE,FALSE
"12",1,"1","12",1,4,4,"1","1",0.208685625,0.622871469,0.373946687,0.395809752,2037,"0",1,TRUE,FALSE,FALSE,FALSE,FALSE,0.395809752,0.208685625,1,0.187124127,0.208685625,0.395809752,1,0,0.0025,0,0,FALSE,FALSE,FALSE
"13",1,"1","13",1,2,2,"1","1",0.176161325,0.621873043,0.309792793,0.418116153,1276,"1",1,FALSE,TRUE,TRUE,FALSE,FALSE,0.621873043,0.176161325,1,0.445711718,0.176161325,0.621873043,1,1,0.0025,0,0,FALSE,FALSE,FALSE
"14",1,"1","14",2,4,2,"0","0",0.189415947,0.64873017,0.299386806,0.444540894,443,"1",4,TRUE,FALSE,FALSE,TRUE,FALSE,0.64873017,0.444540894,1,0.204189276,0.64873017,0.444540894,0,0,0,0,0,FALSE,FALSE,FALSE
"15",1,"1","15",1,4,4,"1","1",0.179116023,0.614258789,0.330861332,0.461018357,1049,"0",1,FALSE,TRUE,FALSE,FALSE,TRUE,0.461018357,0.179116023,1,0.281902334,0.179116023,0.461018357,1,0,0.0025,0,0,FALSE,FALSE,FALSE
"16",1,"1","16",3,1,3,"0","0",0.1990778,0.624416768,0.390680702,0.499538162,896,"1",1,FALSE,TRUE,FALSE,FALSE,FALSE,0.390680702,0.1990778,1,0.191602902,0.390680702,0.1990778,0,0,0,0,0,FALSE,FALSE,FALSE
"17",1,"1","17",3,4,4,"1","0",0.15,0.584623601,0.368970152,0.501779212,826,"0",3,TRUE,FALSE,FALSE,FALSE,FALSE,0.501779212,0.368970152,1,0.13280906,0.368970152,0.501779212,1,0,0,0,0,FALSE,FALSE,FALSE
"18",1,"1","18",2,3,3,"1","1",0.154505329,0.549768795,0.364360177,0.444644815,995,"0",2,FALSE,TRUE,TRUE,FALSE,TRUE,0.364360177,0.549768795,0,0.185408618,0.549768795,0.364360177,0,0,0.0025,0,0,FALSE,FALSE,FALSE
"19",1,"1","19",4,3,3,"1","0",0.20971304,0.501743755,0.30563429,0.41071651,387,"1",4,TRUE,FALSE,TRUE,TRUE,FALSE,0.30563429,0.41071651,0,0.10508222,0.41071651,0.30563429,0,0,0,0,0,FALSE,FALSE,FALSE
"20",1,"1","20",2,4,2,"0","1",0.248624145,0.463638119,0.304244594,0.412544239,879,"0",4,FALSE,TRUE,FALSE,FALSE,FALSE,0.463638119,0.412544239,1,0.05109388,0.463638119,0.412544239,0,0,0.0025,0,0,FALSE,FALSE,FALSE
"21",1,"1","21",1,2,2,"1","1",0.243429274,0.572912292,0.231771321,0.404462135,510,"1",1,TRUE,FALSE,FALSE,TRUE,FALSE,0.572912292,0.243429274,1,0.329483018,0.243429274,0.572912292,1,0,0.0025,0,0,FALSE,FALSE,FALSE
"22",1,"1","22",3,4,3,"0","0",0.222942467,0.521565163,0.189074154,0.394042659,592,"1",4,FALSE,FALSE,FALSE,FALSE,FALSE,0.189074154,0.394042659,0,0.204968505,0.189074154,0.394042659,1,1,0,0,0,FALSE,FALSE,FALSE
"23",1,"1","23",1,3,1,"0","0",0.25854102,0.483212291,0.232423255,0.427578923,1556,"0",3,TRUE,FALSE,TRUE,FALSE,FALSE,0.25854102,0.232423255,1,0.026117765,0.25854102,0.232423255,0,1,0,0,0,FALSE,FALSE,FALSE
"24",1,"1","24",3,4,3,"0","0",0.32771788,0.416664343,0.167898662,0.414173854,369,"0",4,FALSE,TRUE,TRUE,FALSE,TRUE,0.167898662,0.414173854,0,0.246275192,0.167898662,0.414173854,1,0,0,0,0,FALSE,FALSE,FALSE
"25",1,"1","25",1,4,4,"1","0",0.346910101,0.406414638,0.223806442,0.432006777,875,"0",1,FALSE,TRUE,FALSE,FALSE,TRUE,0.432006777,0.346910101,1,0.085096676,0.346910101,0.432006777,1,0,0,0,0,FALSE,FALSE,FALSE
"26",1,"1","26",1,2,2,"1","1",0.363247772,0.424988911,0.15,0.409534504,376,"0",1,FALSE,TRUE,TRUE,FALSE,FALSE,0.424988911,0.363247772,1,0.061741139,0.363247772,0.424988911,1,1,0.0025,0,0,FALSE,FALSE,FALSE
"27",1,"1","27",1,3,3,"1","1",0.412600622,0.423891952,0.160403157,0.383596933,765,"1",1,FALSE,TRUE,TRUE,FALSE,FALSE,0.160403157,0.412600622,0,0.252197465,0.412600622,0.160403157,0,0,0.0025,0,0,FALSE,FALSE,FALSE
"28",1,"1","28",2,1,2,"0","1",0.394723848,0.477917326,0.15,0.366896641,619,"1",1,FALSE,TRUE,FALSE,FALSE,FALSE,0.477917326,0.394723848,1,0.083193478,0.477917326,0.394723848,0,0,0.0025,0,0,FALSE,FALSE,FALSE
"29",1,"1","29",1,2,2,"1","0",0.379588708,0.499917072,0.15,0.455084108,726,"1",1,TRUE,TRUE,FALSE,TRUE,FALSE,0.499917072,0.379588708,1,0.120328364,0.379588708,0.499917072,1,0,0,0,0,FALSE,FALSE,FALSE
"30",1,"1","30",4,2,2,"1","1",0.39092306,0.527574737,0.199845574,0.475709276,383,"0",4,TRUE,FALSE,TRUE,TRUE,FALSE,0.527574737,0.475709276,1,0.051865461,0.475709276,0.527574737,1,1,0.0025,0,0,FALSE,FALSE,FALSE
"31",1,"1","31",3,2,3,"0","0",0.37934023,0.55610902,0.252707012,0.523782927,778,"1",2,TRUE,FALSE,FALSE,FALSE,FALSE,0.252707012,0.55610902,0,0.303402008,0.252707012,0.55610902,1,1,0,0,0,FALSE,FALSE,FALSE
"32",1,"1","32",2,3,2,"0","1",0.422537053,0.542712218,0.240813444,0.467327472,366,"0",3,TRUE,TRUE,TRUE,FALSE,TRUE,0.542712218,0.240813444,1,0.301898774,0.542712218,0.240813444,0,1,0.0025,0,0,FALSE,FALSE,FALSE
